DISC MP4	TRACK	ARTIST	TITLE	LOCATION	FILE	TIME START	TIME END						
7	43	The Hooters	Introduction by Chevy Chase and Joe Piscopo	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:23:30.000	02:25:00.000						
7	44	Austria for Afrika	Introduction	Video - Austria	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:24:00.000	02:24:52.000						
7	45	Austria for Afrika	Warum	Video - Austria	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:24:52.000	02:29:23.000						
7	46	The Hooters	And We Danced	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:25:00.000	02:29:37.000						
7	47	The Hooters	All You Zombies	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:29:37.000	02:35:21.000						
7	48	Nik Kershaw	Introduction by Tommy Vance	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:34:00.000	02:34:39.000						
7	49	Nik Kershaw	Wide Boy	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:34:39.000	02:38:04.000						
7	50	Nik Kershaw	Don Quixote	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:38:04.000	02:42:52.000						
7	51	Nik Kershaw	The Riddle	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:42:52.000	02:47:05.000						
7	52	Four Tops	Introduction by Chevy Chase	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:44:00.000	02:44:20.000						
7	53	Four Tops	"Shake Me, Wake Me (When It's Over)"	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:44:20.000	02:47:02.000						
7	54	Four Tops	Bernadette	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:47:02.000	02:48:45.000						
7	55	Nik Kershaw	Wouldn't It Be Good	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:47:05.000	02:52:17.000						
7	56	Four Tops	It's the Same Old Song	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:48:45.000	02:50:05.000						
7	57	Four Tops	Reach Out I'll Be There	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:50:05.000	02:51:41.000						
7	58	Four Tops	"I Can't Help Myself (Sugar Pie, Honey Bunch)"	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:51:41.000	02:54:09.000						
7	59	B.B. King	Introduction [JVC North Sea Jazz Festival]	Video - Netherlands	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:52:00.000	02:52:40.000						
7	60	B.B. King	When It All Comes Down [JVC North Sea Jazz Festival]	Video - Netherlands	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:52:40.000	02:53:08.000						
7	61	B.B. King	Why I Sing the Blues [JVC North Sea Jazz Festival]	Video - Netherlands	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:53:08.000	02:56:29.000						
7	62	B.B. King	Don't Answer the Door [JVC North Sea Jazz Festival]	Video - Netherlands	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:56:29.000	02:59:27.000						
7	63	Billy Ocean	Introduction by Chevy Chase	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:57:00.000	02:57:20.000						
7	64	Billy Ocean	Caribbean Queen	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:57:20.000	03:01:28.000						
7	65	B.B. King	Rock Me Baby [JVC North Sea Jazz Festival]	Video - Netherlands	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	02:59:27.000	03:01:33.000						
7	66	Billy Ocean	Loverboy	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:01:28.000	03:05:06.000						
7	67	Sade	Introduction	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:05:00.000	03:05:13.000						
7	68	Sade	Why Can't We Live Together	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:05:13.000	03:10:48.000						
7	69	Black Sabbath	Introduction by Chevy Chase	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:07:00.000	03:07:20.000						
7	70	Black Sabbath	Children of the Grave	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:07:20.000	03:11:38.000						
7	71	Sade	Your Love Is King	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:10:48.000	03:15:22.000						
7	72	Black Sabbath	Iron Man	Philadelphia	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:11:38.000	03:19:22.000						
7	73	Sade	Is It a Crime?	London	Live Aid (1985) - S01E07 - BBC Simulcast.mp4	03:15:22.000	03:21:32.000						
