DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	11:27:20	11:31:33	1985-07-13	16:27:20	16:31:33	04:39:20	04:43:33	04:31:41	04:35:54	00:04:13	Video [Germany]	Band Für Afrika	Speech by Udo Lindenberg	
1985-07-13	11:29:00	11:29:20	1985-07-13	16:29:00	16:29:20	04:41:00	04:41:20	04:33:21	04:33:41	00:00:20	Philadelphia	Judas Priest	Introduction by Chevy Chase	
1985-07-13	11:29:20	11:33:21	1985-07-13	16:29:20	16:33:21	04:41:20	04:45:21	04:33:41	04:37:42	00:04:01	Philadelphia	Judas Priest	Living After Midnight	
1985-07-13	11:31:33	11:35:36	1985-07-13	16:31:33	16:35:36	04:43:33	04:47:36	04:35:54	04:39:57	00:04:03	Video [Germany]	Band Für Afrika	Nackt im Wind	
1985-07-13	11:33:21	11:37:03	1985-07-13	16:33:21	16:37:03	04:45:21	04:49:03	04:37:42	04:41:24	00:03:42	Philadelphia	Judas Priest	The Green Manalishi (With the Two-Pronged Crown)	
1985-07-13	11:35:36	11:38:05	1985-07-13	16:35:36	16:38:05	04:47:36	04:50:05	04:39:57	04:42:26	00:02:29	Video [Germany]	Band Für Afrika	Ein Jahr (Es Geht Voran)	
1985-07-13	11:37:03	11:44:19	1985-07-13	16:37:03	16:44:19	04:49:03	04:56:19	04:41:24	04:48:40	00:07:16	Philadelphia	Judas Priest	You've Got Another Thing Comin'	
1985-07-13	11:40:00	11:41:01	1985-07-13	16:40:00	16:41:01	04:52:00	04:53:01	04:44:21	04:45:22	00:01:01	London	Paul Young	Introduction by Andy Peebles	
1985-07-13	11:41:01	11:41:54	1985-07-13	16:41:01	16:41:54	04:53:01	04:53:54	04:45:22	04:46:15	00:00:53	London	Paul Young	Do They Know It's Christmas?	Note: Intro Only
1985-07-13	11:41:54	11:49:04	1985-07-13	16:41:54	16:49:04	04:53:54	05:01:04	04:46:15	04:53:25	00:07:10	London	Paul Young	Come Back and Stay	
1985-07-13	11:49:04	11:53:55	1985-07-13	16:49:04	16:53:55	05:01:04	05:05:55	04:53:25	04:58:16	00:04:51	London	Paul Young + Alison Moyet	That's the Way Love Is	
1985-07-13	11:53:55	12:00:47	1985-07-13	16:53:55	17:00:47	05:05:55	05:12:47	04:58:16	05:05:08	00:06:52	London	Paul Young	Everytime You Go Away	
1985-07-13	12:01:00	12:01:20	1985-07-13	17:01:00	17:01:20	05:13:00	05:13:20	05:05:21	05:05:41	00:00:20	Philadelphia	Bryan Adams	Introduction by Jack Nicholson	
1985-07-13	12:01:20	12:04:19	1985-07-13	17:01:20	17:04:19	05:13:20	05:16:19	05:05:41	05:08:40	00:02:59	Philadelphia	Bryan Adams	Kids Wanna Rock	
1985-07-13	12:04:19	12:08:45	1985-07-13	17:04:19	17:08:45	05:16:19	05:20:45	05:08:40	05:13:06	00:04:26	Philadelphia	Bryan Adams	Summer of '69	
